"";"Program.kreditiranja";"Korisnik.kredita";"Odobreno.KN";"Godina";"OIB";"sus"
"79";"Infrastruktura";"ADDIKO BANK D.D.";2e+06;NA;14036333877;0
"80";"Infrastruktura";"ADDIKO BANK D.D.";2e+06;NA;14036333877;0
"81";"Infrastruktura";"ADDIKO BANK D.D.";1267660;NA;14036333877;0
"82";"Infrastruktura";"ADDIKO BANK D.D.";3113182;NA;14036333877;0
"83";"Infrastruktura";"ADDIKO BANK D.D.";10044000;NA;14036333877;0
"84";"IPARD Mjera 1.1. i Mjera 1.2.";"ADDIKO BANK D.D.";6453290;NA;14036333877;0
"85";"IPARD Mjera 1.1. i Mjera 1.2.";"ADDIKO BANK D.D.";4503940;NA;14036333877;0
"86";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";2500000;NA;14036333877;0
"87";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";1331000;NA;14036333877;0
"88";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";2069364;NA;14036333877;0
"89";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";897958;NA;14036333877;0
"90";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";1831200;NA;14036333877;0
"91";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";1178638;NA;14036333877;0
"92";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";850879;NA;14036333877;0
"93";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";915000;NA;14036333877;0
"94";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";2003759;NA;14036333877;0
"95";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";809964;NA;14036333877;0
"96";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";1950000;NA;14036333877;0
"97";"IPARD Mjera 101. i 103. (IPARD i EU fondovi)";"ADDIKO BANK D.D.";1180897;NA;14036333877;0
"98";"IPARD Mjera 301.";"ADDIKO BANK D.D.";7200000;NA;14036333877;0
"99";"IPARD Mjera 301.";"ADDIKO BANK D.D.";6e+06;NA;14036333877;0
"100";"IPARD Mjera 301.";"ADDIKO BANK D.D.";1621900;NA;14036333877;0
"101";"IPARD Mjera 301.";"ADDIKO BANK D.D.";2963247;NA;14036333877;0
"102";"IPARD Mjera 301.";"ADDIKO BANK D.D.";9875000;NA;14036333877;0
"103";"IPARD Mjera 301.";"ADDIKO BANK D.D.";7600000;NA;14036333877;0
"104";"IPARD Mjera 301.";"ADDIKO BANK D.D.";5e+06;NA;14036333877;0
"105";"IPARD Mjera 301.";"ADDIKO BANK D.D.";4600000;NA;14036333877;0
"106";"IPARD Mjera 301.";"ADDIKO BANK D.D.";3e+06;NA;14036333877;0
"107";"IPARD Mjera 301.";"ADDIKO BANK D.D.";2909689;NA;14036333877;0
"108";"IPARD Mjera 301.";"ADDIKO BANK D.D.";1650000;NA;14036333877;0
"109";"IPARD Mjera 301.";"ADDIKO BANK D.D.";1600000;NA;14036333877;0
"110";"IPARD Mjera 301.";"ADDIKO BANK D.D.";4600000;NA;14036333877;0
"111";"IPARD Mjera 302.";"ADDIKO BANK D.D.";6e+05;NA;14036333877;0
"112";"IPARD Mjera 302.";"ADDIKO BANK D.D.";2100000;NA;14036333877;0
"113";"IPARD Mjera 302.";"ADDIKO BANK D.D.";1056561;NA;14036333877;0
"114";"IPARD Mjera 302.";"ADDIKO BANK D.D.";1737930;NA;14036333877;0
"115";"IPARD Mjera 302.";"ADDIKO BANK D.D.";949385;NA;14036333877;0
"116";"IPARD Mjera 302.";"ADDIKO BANK D.D.";1568000;NA;14036333877;0
"117";"IPARD Mjera 302.";"ADDIKO BANK D.D.";1305000;NA;14036333877;0
"118";"IPARD Mjera 302.";"ADDIKO BANK D.D.";1600000;NA;14036333877;0
"119";"IPARD Mjera 302.";"ADDIKO BANK D.D.";1600000;NA;14036333877;0
"120";"Kreditiranje EU projekata privatnog sektora";"ADDIKO BANK D.D.";1109533;NA;14036333877;0
"121";"Kreditiranje EU projekata ruralnog razvoja, ribarstva i vinske omotnice";"ADDIKO BANK D.D.";1991619;NA;14036333877;0
"122";"Kreditiranje EU projekata ruralnog razvoja, ribarstva i vinske omotnice";"ADDIKO BANK D.D.";1631866;NA;14036333877;0
"123";"Kreditiranje EU projekata ruralnog razvoja, ribarstva i vinske omotnice";"ADDIKO BANK D.D.";652747;NA;14036333877;0
"124";"Kreditiranje EU projekata ruralnog razvoja, ribarstva i vinske omotnice";"ADDIKO BANK D.D.";1490933;NA;14036333877;0
"125";"Kreditiranje EU projekata ruralnog razvoja, ribarstva i vinske omotnice";"ADDIKO BANK D.D.";5029116;NA;14036333877;0
"126";"Kreditiranje EU projekata ruralnog razvoja, ribarstva i vinske omotnice";"ADDIKO BANK D.D.";5785708;NA;14036333877;0
"127";"Kreditiranje IPA-e i Strukturnih instrumenata";"ADDIKO BANK D.D.";6e+05;NA;14036333877;0
"128";"Kreditiranje IPA-e i Strukturnih instrumenata";"ADDIKO BANK D.D.";6e+05;NA;14036333877;0
"129";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";2e+05;NA;14036333877;0
"130";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1e+06;NA;14036333877;0
"131";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+05;NA;14036333877;0
"132";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";260000;NA;14036333877;0
"133";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";115000;NA;14036333877;0
"134";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";750000;NA;14036333877;0
"135";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";8e+05;NA;14036333877;0
"136";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";4e+05;NA;14036333877;0
"137";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1e+05;NA;14036333877;0
"138";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";2e+05;NA;14036333877;0
"139";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1e+06;NA;14036333877;0
"140";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+05;NA;14036333877;0
"141";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1500000;NA;14036333877;0
"142";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";150000;NA;14036333877;0
"143";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";3e+05;NA;14036333877;0
"144";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+06;NA;14036333877;0
"145";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+05;NA;14036333877;0
"146";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+05;NA;14036333877;0
"147";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";250000;NA;14036333877;0
"148";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+05;NA;14036333877;0
"149";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";120000;NA;14036333877;0
"150";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";80000;NA;14036333877;0
"151";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";70000;NA;14036333877;0
"152";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";3e+06;NA;14036333877;0
"153";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";75000;NA;14036333877;0
"154";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";180000;NA;14036333877;0
"155";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";120000;NA;14036333877;0
"156";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1500000;NA;14036333877;0
"157";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";4e+05;NA;14036333877;0
"158";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1e+05;NA;14036333877;0
"159";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";8e+05;NA;14036333877;0
"160";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";250000;NA;14036333877;0
"161";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";240000;NA;14036333877;0
"162";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";7500000;NA;14036333877;0
"163";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+05;NA;14036333877;0
"164";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1400000;NA;14036333877;0
"165";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";7500000;NA;14036333877;0
"166";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";80000;NA;14036333877;0
"167";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";120000;NA;14036333877;0
"168";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";150000;NA;14036333877;0
"169";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";120000;NA;14036333877;0
"170";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";310000;NA;14036333877;0
"171";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";120000;NA;14036333877;0
"172";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";3e+05;NA;14036333877;0
"173";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";1e+05;NA;14036333877;0
"174";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";120000;NA;14036333877;0
"175";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";350000;NA;14036333877;0
"176";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";120000;NA;14036333877;0
"177";"Kreditiranje pripreme poljoprivredne proizvodnje";"ADDIKO BANK D.D.";5e+05;NA;14036333877;0
"178";"Kreditiranje proizvodnje";"ADDIKO BANK D.D.";5093956;NA;14036333877;0
"179";"Kreditiranje proizvodnje 2012.";"ADDIKO BANK D.D.";3e+05;2012;14036333877;0
"180";"Kreditiranje proizvodnje 2012.";"ADDIKO BANK D.D.";3e+05;2012;14036333877;0
"181";"Kreditiranje proizvodnje 2012.";"ADDIKO BANK D.D.";3e+05;2012;14036333877;0
"182";"Kreditiranje proizvodnje 2012.";"ADDIKO BANK D.D.";3e+05;2012;14036333877;0
"183";"Kreditiranje proizvodnje 2012.";"ADDIKO BANK D.D.";3e+05;2012;14036333877;0
"184";"Kreditiranje proizvodnje 2012.";"ADDIKO BANK D.D.";3e+05;2012;14036333877;0
"185";"Likvidnost 2009.";"ADDIKO BANK D.D.";59393154;2009;14036333877;0
"186";"Likvidnost 2009.";"ADDIKO BANK D.D.";742616;2009;14036333877;0
"187";"Likvidnost 2009.";"ADDIKO BANK D.D.";219845;2009;14036333877;0
"188";"Likvidnost 2009.";"ADDIKO BANK D.D.";370879;2009;14036333877;0
"189";"Likvidnost 2011.";"ADDIKO BANK D.D.";18500000;2011;14036333877;0
"190";"Likvidnost 2011.";"ADDIKO BANK D.D.";1500000;2011;14036333877;0
"191";"Likvidnost 2011.";"ADDIKO BANK D.D.";729400;2011;14036333877;0
"192";"Likvidnost 2011.";"ADDIKO BANK D.D.";5414830;2011;14036333877;0
"193";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";925381;NA;14036333877;0
"194";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";295819;NA;14036333877;0
"195";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";948136;NA;14036333877;0
"196";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";189627;NA;14036333877;0
"197";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";792642;NA;14036333877;0
"198";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";155494;NA;14036333877;0
"199";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";948136;NA;14036333877;0
"200";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";307196;NA;14036333877;0
"201";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1479093;NA;14036333877;0
"202";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";758509;NA;14036333877;0
"203";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";834360;NA;14036333877;0
"204";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1517018;NA;14036333877;0
"205";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1517018;NA;14036333877;0
"206";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";595430;NA;14036333877;0
"207";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";682658;NA;14036333877;0
"208";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1137764;NA;14036333877;0
"209";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";379255;NA;14036333877;0
"210";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1175689;NA;14036333877;0
"211";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1517018;NA;14036333877;0
"212";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1061913;NA;14036333877;0
"213";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1517018;NA;14036333877;0
"214";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";606807;NA;14036333877;0
"215";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";159287;NA;14036333877;0
"216";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1251540;NA;14036333877;0
"217";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1517018;NA;14036333877;0
"218";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";758509;NA;14036333877;0
"219";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1126386;NA;14036333877;0
"220";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";978477;NA;14036333877;0
"221";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";506291;NA;14036333877;0
"222";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1418600;NA;14036333877;0
"223";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";606727;NA;14036333877;0
"224";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";3061688;NA;14036333877;0
"225";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2449350;NA;14036333877;0
"226";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";408873;NA;14036333877;0
"227";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";307045;NA;14036333877;0
"228";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";5633905;NA;14036333877;0
"229";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2561488;NA;14036333877;0
"230";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1108520;NA;14036333877;0
"231";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2196288;NA;14036333877;0
"232";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1497469;NA;14036333877;0
"233";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";3007643;NA;14036333877;0
"234";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";7524187;NA;14036333877;0
"235";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";4950848;NA;14036333877;0
"236";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2623974;NA;14036333877;0
"237";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2422683;NA;14036333877;0
"238";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";8075609;NA;14036333877;0
"239";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";404020;NA;14036333877;0
"240";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1542120;NA;14036333877;0
"241";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2020101;NA;14036333877;0
"242";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";528004;NA;14036333877;0
"243";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";402381;NA;14036333877;0
"244";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";676043;NA;14036333877;0
"245";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";3228163;NA;14036333877;0
"246";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";4762419;NA;14036333877;0
"247";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1216975;NA;14036333877;0
"248";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2026974;NA;14036333877;0
"249";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2025975;NA;14036333877;0
"250";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";4051951;NA;14036333877;0
"251";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";407468;NA;14036333877;0
"252";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";609552;NA;14036333877;0
"253";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1018669;NA;14036333877;0
"254";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2019263;NA;14036333877;0
"255";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";101115;NA;14036333877;0
"256";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1236064;NA;14036333877;0
"257";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";729390;NA;14036333877;0
"258";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1115420;NA;14036333877;0
"259";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1917559;NA;14036333877;0
"260";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1631866;NA;14036333877;0
"261";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1276963;NA;14036333877;0
"262";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1019938;NA;14036333877;0
"263";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1706042;NA;14036333877;0
"264";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";719505;NA;14036333877;0
"265";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1483515;NA;14036333877;0
"266";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1112636;NA;14036333877;0
"267";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";510527;NA;14036333877;0
"268";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1022051;NA;14036333877;0
"269";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";4598942;NA;14036333877;0
"270";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1737485;NA;14036333877;0
"271";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1075400;NA;14036333877;0
"272";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1068131;NA;14036333877;0
"273";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2967030;NA;14036333877;0
"274";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";3082616;NA;14036333877;0
"275";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1143209;NA;14036333877;0
"276";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";741757;NA;14036333877;0
"277";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";156522;NA;14036333877;0
"278";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";4094501;NA;14036333877;0
"279";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";6977399;NA;14036333877;0
"280";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";5859884;NA;14036333877;0
"281";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";4450545;NA;14036333877;0
"282";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";3026371;NA;14036333877;0
"283";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";1113380;NA;14036333877;0
"284";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";2484888;NA;14036333877;0
"285";"Malo i srednje poduzetništvo";"ADDIKO BANK D.D.";3560436;NA;14036333877;0
